"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\App.jsx", "JavaScript JSX", 42, 0, 0, 0, 5, 47
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\components\Footer.jsx", "JavaScript JSX", 32, 0, 0, 9, 4, 45
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\components\Hero.jsx", "JavaScript JSX", 58, 0, 0, 39, 10, 107
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\components\Highlights.jsx", "JavaScript JSX", 22, 0, 0, 45, 6, 73
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\components\Navbar.jsx", "JavaScript JSX", 45, 0, 0, 15, 6, 66
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\components\VideoCarousel.jsx", "JavaScript JSX", 187, 0, 0, 21, 25, 233
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\constants\index.js", "JavaScript", 0, 0, 80, 1, 6, 87
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\index.css", "CSS", 0, 143, 0, 11, 34, 188
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\main.jsx", "JavaScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\pages\About.jsx", "JavaScript JSX", 50, 0, 0, 0, 2, 52
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\pages\Contact.jsx", "JavaScript JSX", 105, 0, 0, 3, 8, 116
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\pages\JDProductionz.jsx", "JavaScript JSX", 301, 0, 0, 22, 37, 360
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\pages\PFT.jsx", "JavaScript JSX", 219, 0, 0, 16, 21, 256
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\pages\Support.jsx", "JavaScript JSX", 104, 0, 0, 4, 6, 114
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\src\utils\index.js", "JavaScript", 0, 0, 56, 1, 10, 67
"Total", "-", 1177, 143, 136, 187, 182, 1825
