"filename", "language", "XML", "comment", "blank", "total"
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\assets\images\apple.svg", "XML", 13, 0, 0, 13
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\assets\images\bag.svg", "XML", 14, 0, 0, 14
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\assets\images\favicon.svg", "XML", 3349, 0, 1, 3350
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\assets\images\pause.svg", "XML", 1, 0, 0, 1
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\assets\images\play.svg", "XML", 1, 0, 0, 1
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\assets\images\replay.svg", "XML", 15, 0, 0, 15
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\assets\images\right.svg", "XML", 13, 0, 0, 13
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\assets\images\search.svg", "XML", 14, 0, 0, 14
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\assets\images\watch.svg", "XML", 13, 0, 0, 13
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\assets\react.svg", "XML", 1, 0, 0, 1
"c:\Users\juand\Documents\RVCC\Spring_2025\CapstoneSpring2025\ReactProjects\website01\public\models\vite.svg", "XML", 14, 0, 0, 14
"Total", "-", 3448, 0, 1, 3449
